PEP_ID;BBCH;YEAR;DAY
19292;11;2014;74
19291;60;2014;75
19292;60;2014;79
19298;60;2014;80
19291;65;2014;81
19298;11;2014;82
19291;11;2014;82
19292;65;2014;87
19298;65;2014;89
19291;69;2014;90
19292;69;2014;95
19293;60;2014;98
19293;11;2014;104
19293;65;2014;105
19293;69;2014;109
19298;69;2014;110
19298;86;2014;186
19298;87;2014;192
19292;86;2014;222
19292;87;2014;228
19291;86;2014;234
19291;87;2014;245
19293;86;2014;257
19291;94;2014;258
19293;87;2014;268
19292;94;2014;274
19291;95;2014;278
19293;94;2014;288
19292;95;2014;298
19293;95;2014;302
19298;94;2014;334
19298;95;2014;335
19298;60;2015;82
19292;11;2015;84
19298;11;2015;84
19298;65;2015;87
19292;60;2015;89
19292;65;2015;98
19291;60;2015;105
19291;11;2015;108
19292;69;2015;108
19291;65;2015;110
19298;69;2015;112
19293;60;2015;121
19291;69;2015;122
19293;65;2015;126
19293;11;2015;127
19293;69;2015;129
19298;86;2015;214
19298;87;2015;222
19292;86;2015;227
19292;87;2015;234
19291;86;2015;237
19291;87;2015;242
19291;94;2015;258
19293;86;2015;261
19293;87;2015;266
19292;94;2015;273
19291;95;2015;285
19293;94;2015;293
19292;95;2015;298
19293;95;2015;307
