PEP_ID;BBCH;YEAR;DAY
20450;60;1958;86
20450;65;1958;90
20450;69;1958;96
20450;81;1958;198
20450;100;1958;204
20450;95;1958;315
20448;81;1965;186
20448;100;1965;195
20448;69;1968;92
20448;81;1968;157
20448;100;1968;164
20450;60;1989;74
20450;65;1989;87
20450;69;1989;106
20450;81;1989;229
20450;100;1989;241
20450;95;1989;314
20451;81;2000;228
20451;100;2000;246
20451;94;2000;259
20451;81;2001;221
20451;100;2001;252
20451;60;2002;120
20451;65;2002;139
20451;69;2002;160
20451;81;2002;252
20451;94;2002;272
20451;100;2002;273
20451;95;2002;302
20452;60;2005;114
20452;65;2005;119
20452;69;2005;124
20452;81;2005;236
20452;100;2005;247
20452;94;2005;267
20452;95;2005;287
