PEP_ID;BBCH;YEAR;DAY
20450;81;1958;198
20450;100;1958;202
20450;94;1958;204
20450;60;1959;82
20450;65;1959;87
20450;81;1959;190
20450;100;1959;193
20450;60;1960;115
20450;65;1960;118
20450;60;1962;98
20450;65;1962;103
20450;69;1962;106
20450;81;1962;197
20450;100;1962;200
20450;60;1963;84
20450;65;1963;89
20450;69;1963;94
20450;81;1963;195
20450;100;1963;198
20450;95;1963;321
20450;60;1964;85
20450;65;1964;91
20450;69;1964;96
20450;81;1964;207
20450;100;1964;212
20450;60;1965;89
20450;65;1965;94
20450;69;1965;104
20450;81;1965;161
20450;100;1965;196
20450;60;1966;67
20450;65;1966;72
20450;69;1966;78
20450;81;1966;180
20450;100;1966;192
20450;94;1966;282
20450;95;1966;292
20450;60;1969;89
20450;60;1970;69
20450;65;1970;78
20450;69;1970;86
20450;81;1970;155
20450;100;1970;158
20450;81;1971;151
20450;100;1971;155
