PEP_ID;BBCH;YEAR;DAY
20448;81;1959;167
20448;100;1959;177
20448;60;1961;57
20448;65;1961;64
20451;60;1975;112
20451;65;1975;117
20451;69;1975;129
20451;60;1977;91
20451;65;1977;99
20451;69;1977;107
20451;60;1978;120
20451;65;1978;124
20451;69;1978;139
20450;60;1988;103
20450;65;1988;162
20450;69;1988;167
20450;60;1993;83
20450;65;1993;88
20450;69;1993;93
20450;81;1993;170
20450;100;1993;178
20450;94;1993;236
20450;95;1993;243
20450;60;1994;56
20450;65;1994;59
20450;69;1994;66
20450;100;1994;180
20450;94;1994;239
20450;95;1994;245
20450;60;2007;47
20450;65;2007;52
20450;69;2007;59
20450;60;2008;55
20450;65;2008;59
20450;60;2011;59
20450;65;2011;63
20450;100;2011;160
