PEP_ID;BBCH;YEAR;DAY
20451;81;1951;236
20451;100;1951;243
20451;95;1951;282
20449;60;1952;94
20449;65;1952;108
20451;60;1952;118
20451;65;1952;126
20449;81;1952;239
20449;100;1952;253
20449;95;1952;325
20449;60;1953;72
20449;65;1953;79
20451;81;1953;244
20452;81;1953;260
20451;100;1953;262
20452;100;1953;262
20452;95;1953;279
20452;60;1954;116
20452;65;1954;127
20451;60;1954;137
20451;65;1954;144
20451;95;1954;282
20449;60;1955;109
20452;60;1955;112
20449;65;1955;114
20452;65;1955;122
20451;60;1955;129
20451;65;1955;132
20452;81;1955;244
20452;100;1955;260
20451;81;1955;261
20451;100;1955;271
20449;81;1955;276
20449;100;1955;282
20452;95;1955;306
20449;60;1956;118
20450;60;1956;118
20449;65;1956;122
20450;65;1956;122
20450;69;1956;127
20449;69;1956;127
20451;60;1956;134
20451;65;1956;135
20450;81;1956;257
20449;81;1956;257
20451;60;1957;128
20451;65;1957;133
20449;60;1958;114
20449;65;1958;121
20449;69;1958;128
20451;60;1958;133
20451;69;1958;135
20449;81;1958;236
20449;100;1958;254
20450;60;1960;84
20450;65;1960;87
20449;60;1960;109
20449;65;1960;122
20451;60;1960;126
20449;69;1960;132
20451;65;1960;133
20451;81;1960;272
20450;60;1961;86
20450;65;1961;89
20450;81;1961;192
20450;100;1961;200
20452;100;1961;257
20449;60;1962;115
20449;65;1962;118
20449;69;1962;122
20449;81;1962;247
20451;81;1962;252
20449;100;1962;257
20451;100;1962;267
20449;60;1963;114
20449;65;1963;119
20449;69;1963;125
20451;60;1963;128
20451;65;1963;132
20451;69;1963;139
20449;81;1963;241
20451;81;1963;244
20449;100;1963;252
20451;100;1963;261
20451;94;1963;273
20449;94;1963;285
20452;94;1963;290
20449;95;1963;291
20451;95;1963;292
20452;95;1963;304
20449;60;1964;120
20449;65;1964;124
20452;60;1964;125
20451;60;1964;127
20449;69;1964;128
20452;65;1964;130
20451;65;1964;131
20452;69;1964;135
20451;69;1964;136
20449;81;1964;248
20451;81;1964;251
20452;81;1964;254
20451;94;1964;259
20449;100;1964;259
20452;100;1964;269
20451;100;1964;272
20451;95;1964;284
20449;94;1964;292
20449;95;1964;302
20449;60;1965;121
20449;65;1965;123
20449;69;1965;127
20451;60;1965;139
20451;65;1965;142
20451;69;1965;147
20451;95;1965;267
20449;94;1965;295
20449;95;1965;299
20452;60;1966;109
20449;60;1966;112
20452;65;1966;116
20449;65;1966;116
20449;69;1966;118
20452;69;1966;125
20451;60;1966;126
20451;65;1966;132
20451;69;1966;139
20451;81;1966;247
20449;81;1966;248
20449;100;1966;258
20449;94;1966;276
20451;100;1966;279
20451;94;1966;284
20449;95;1966;284
20451;95;1966;290
20452;94;1966;297
20452;95;1966;313
20452;60;1967;111
20452;65;1967;117
20452;69;1967;124
20451;81;1967;262
20449;94;1967;282
20450;94;1967;282
20451;94;1967;282
20450;95;1967;292
20449;95;1967;296
20448;94;1967;300
20448;95;1967;320
20450;60;1968;85
20450;65;1968;89
20452;60;1968;108
20449;60;1968;109
20449;65;1968;113
20452;65;1968;115
20451;60;1968;117
20449;69;1968;117
20452;69;1968;121
20451;65;1968;123
20450;81;1968;167
20450;100;1968;170
20449;81;1968;232
20451;81;1968;238
20451;94;1968;254
20449;100;1968;254
20451;100;1968;258
20449;94;1968;284
20451;95;1968;289
20449;95;1968;292
20448;60;1969;99
20452;60;1969;115
20449;60;1969;117
20452;65;1969;119
20449;65;1969;121
20452;69;1969;123
20449;69;1969;124
20451;60;1969;125
20451;65;1969;131
20451;69;1969;137
20449;81;1969;237
20449;100;1969;243
20451;81;1969;244
20452;81;1969;251
20449;94;1969;262
20452;100;1969;269
20451;100;1969;270
20449;95;1969;274
20452;94;1969;285
20452;95;1969;308
20448;60;1970;103
20448;65;1970;107
20449;60;1970;117
20449;65;1970;125
20451;60;1970;131
20449;69;1970;132
20451;65;1970;138
20449;81;1970;251
20449;100;1970;264
20449;94;1970;270
20449;95;1970;276
20452;94;1970;284
20448;94;1970;305
20452;95;1970;306
20448;95;1970;314
20449;60;1971;115
20449;65;1971;120
20449;69;1971;125
20449;81;1971;244
20452;81;1971;252
20449;100;1971;257
