PEP_ID;BBCH;YEAR;DAY
20448;60;1962;68
20448;65;1962;88
20448;69;1962;95
20448;81;1962;175
20448;100;1962;177
20448;60;1985;104
20448;65;1985;113
20448;69;1985;125
20448;81;1985;222
20448;100;1985;238
20448;94;1985;286
20448;95;1985;313
20451;60;2001;99
20451;65;2001;114
20451;69;2001;120
20449;60;2006;114
20449;65;2006;117
20449;69;2006;119
20449;81;2006;243
20449;100;2006;252
20449;94;2006;277
20449;95;2006;292
20449;60;2007;104
20449;65;2007;107
20449;69;2007;111
20449;81;2007;247
20449;100;2007;257
20449;60;2008;114
20449;65;2008;119
20449;69;2008;121
20449;81;2008;259
20449;100;2008;269
20449;94;2008;279
20449;95;2008;289
20449;60;2009;107
20449;65;2009;109
20449;69;2009;114
20449;81;2009;247
20449;100;2009;257
20449;60;2010;104
20449;65;2010;107
20449;69;2010;111
20449;94;2010;287
20449;95;2010;297
20449;60;2011;106
20449;65;2011;110
20449;69;2011;113
20449;81;2011;247
20449;100;2011;262
20449;60;2012;113
20449;65;2012;117
20449;69;2012;121
