PEP_ID;BBCH;YEAR;DAY
7929;11;1868;99
7801;11;1868;105
8001;11;1868;106
7929;60;1868;130
7801;60;1868;134
8001;60;1868;137
7990;60;1868;138
7929;11;1869;100
7990;11;1869;102
7532;11;1869;103
7801;11;1869;105
7612;11;1869;109
7929;60;1869;121
7801;60;1869;131
7532;60;1869;132
7990;60;1869;132
7929;11;1870;110
7532;11;1870;111
7801;11;1870;111
7990;11;1870;112
7612;60;1870;116
7475;60;1870;136
7929;60;1870;138
7532;60;1870;142
7990;60;1870;142
7801;60;1870;145
7929;11;1871;86
7801;11;1871;96
7532;11;1871;101
7797;11;1871;104
7811;11;1871;104
7612;11;1871;104
7929;60;1871;136
7801;60;1871;140
7990;60;1871;144
7532;60;1871;148
7923;11;1872;77
7801;11;1872;83
7797;11;1872;89
7929;11;1872;90
7532;11;1872;92
7923;60;1872;119
7801;60;1872;125
7532;60;1872;127
7797;60;1872;133
7990;60;1872;135
7797;11;1873;78
7923;11;1873;79
7929;11;1873;98
7990;11;1873;99
7801;11;1873;104
7532;11;1873;107
7923;60;1873;130
7929;60;1873;138
7706;60;1873;141
7532;60;1873;144
7990;60;1873;147
7801;60;1873;147
7923;11;1874;101
7706;11;1874;102
7990;11;1874;102
7532;11;1874;102
7801;11;1874;104
7475;11;1874;104
7929;11;1874;109
7923;60;1874;132
7801;60;1874;137
7706;60;1874;138
7990;60;1874;138
7532;60;1874;141
7929;11;1875;110
7532;11;1875;113
7990;11;1875;116
7706;11;1875;119
7801;11;1875;120
7929;60;1875;135
7706;60;1875;136
7801;60;1875;139
7990;60;1875;143
7929;11;1876;98
7797;11;1876;100
7990;11;1876;101
7532;11;1876;107
7706;11;1876;107
7801;11;1876;108
7929;60;1876;137
7801;60;1876;139
7797;60;1876;141
7990;60;1876;150
7929;11;1877;99
7990;11;1877;100
7475;11;1877;108
7475;60;1877;108
7801;11;1877;110
7929;60;1877;142
7797;60;1877;143
7532;60;1877;146
7801;60;1877;149
7990;60;1877;149
7929;11;1878;102
7873;11;1878;102
7532;11;1878;109
7990;11;1878;113
7929;60;1878;127
7532;60;1878;128
7801;60;1878;130
7990;60;1878;134
7873;11;1879;100
7873;60;1879;100
7929;11;1879;112
7990;11;1879;116
7662;11;1879;119
7532;11;1879;126
7532;60;1879;157
7934;11;1880;61
7873;11;1880;91
7873;60;1880;122
7792;60;1880;123
7929;60;1880;124
7797;60;1880;132
7532;60;1880;136
7873;60;1881;124
7923;60;1881;130
7532;60;1881;145
7532;11;1882;91
7873;60;1882;109
7929;60;1882;123
7873;11;1883;105
7934;11;1883;110
7532;11;1883;112
7934;60;1883;135
7873;60;1883;136
7532;60;1883;141
7990;60;1883;145
7934;11;1884;90
7990;11;1884;93
7923;60;1884;105
7929;60;1884;128
7934;60;1884;131
7990;60;1884;132
7873;60;1884;140
7660;60;1884;144
7934;11;1885;97
7990;11;1885;109
7873;11;1885;112
7873;60;1885;112
7929;60;1885;132
7873;11;1886;109
7990;11;1886;111
7873;60;1886;116
7934;60;1886;137
7990;60;1886;139
7990;60;1887;163
7873;11;1888;115
7990;60;1888;151
7873;11;1889;110
7990;11;1889;118
7990;60;1889;135
7873;11;1890;97
7990;11;1890;97
7873;60;1890;114
7990;60;1890;189
7873;11;1891;104
7990;11;1891;142
7701;11;1891;148
7640;11;1892;114
7873;11;1892;115
7873;60;1892;131
7990;60;1892;141
7640;60;1892;143
7990;11;1893;91
7640;60;1893;92
7873;11;1893;99
7873;60;1893;110
7743;60;1893;132
7839;60;1894;110
7842;60;1894;110
7923;60;1894;114
7720;60;1894;115
7548;60;1894;116
7641;60;1894;116
7640;60;1894;116
7492;60;1894;117
7814;60;1894;117
7499;60;1894;118
7515;60;1894;118
7577;60;1894;118
7482;60;1894;119
7954;60;1894;120
8007;60;1894;122
7573;60;1894;122
7633;60;1894;125
7635;60;1894;126
7867;60;1894;128
7553;60;1894;128
8000;60;1894;128
7899;60;1894;130
7979;60;1894;131
7956;60;1894;132
7922;60;1894;132
7857;60;1894;132
7499;60;1895;116
7954;60;1895;130
7577;60;1895;130
7923;60;1895;130
8007;60;1895;132
7645;60;1895;132
7492;60;1895;132
7763;60;1895;132
7901;60;1895;133
7635;60;1895;134
7515;60;1895;135
7814;60;1895;137
7559;60;1895;138
7857;60;1895;139
7556;60;1895;141
7979;60;1895;141
7996;60;1895;142
7553;60;1895;144
7473;60;1895;146
7956;60;1895;169
7990;11;1896;93
7873;11;1896;93
7515;60;1896;131
7956;60;1896;131
7814;60;1896;132
8000;60;1896;133
7954;60;1896;133
7990;60;1896;133
7645;60;1896;134
7923;60;1896;135
7867;60;1896;136
7566;60;1896;136
7577;60;1896;138
7492;60;1896;138
7763;60;1896;138
7742;60;1896;139
7488;60;1896;141
7553;60;1896;141
7857;60;1896;142
7647;60;1896;142
7556;60;1896;142
7640;60;1896;143
7752;60;1896;143
7559;60;1896;145
7922;60;1896;147
7920;60;1896;148
7979;60;1896;150
7996;60;1896;151
7873;60;1897;87
7873;11;1897;124
7923;60;1897;133
7814;60;1897;134
7577;60;1897;136
7645;60;1897;136
7488;60;1897;137
7640;60;1897;138
8000;60;1897;138
7635;60;1897;139
7922;60;1897;140
7556;60;1897;140
7742;60;1897;140
7979;60;1897;142
7857;60;1897;142
7909;60;1897;146
7996;60;1897;148
7566;60;1897;149
7473;60;1897;149
7956;60;1897;152
7873;11;1898;115
7548;11;1898;120
7499;60;1898;134
8000;60;1898;134
7742;60;1898;136
7566;60;1898;137
7814;60;1898;139
7645;60;1898;140
7990;60;1898;140
8005;60;1898;141
7635;60;1898;142
7954;60;1898;144
7909;60;1898;145
7577;60;1898;145
7857;60;1898;146
7556;60;1898;149
7492;60;1898;149
7979;60;1898;149
7996;60;1898;152
7873;60;1898;152
7920;60;1898;153
7645;60;1899;135
7488;60;1899;137
8000;60;1899;138
7742;60;1899;140
7635;60;1899;142
7671;60;1899;143
7922;60;1899;144
7954;60;1899;144
7492;60;1899;144
7577;60;1899;146
7909;60;1899;147
7979;60;1899;147
7566;60;1899;148
7556;60;1899;149
7857;60;1899;151
7996;60;1899;153
7920;60;1899;154
7488;60;1900;139
7923;60;1900;139
7566;60;1900;139
7814;60;1900;140
7878;60;1900;141
7954;60;1900;141
7671;60;1900;142
7645;60;1900;143
7635;60;1900;147
7556;60;1900;147
8005;60;1900;148
7752;60;1900;149
7857;60;1900;150
7920;60;1900;152
7640;60;1900;160
7996;60;1900;162
7645;60;1901;141
7758;60;1901;148
7996;60;1901;149
7979;60;1901;151
7920;60;1901;152
7923;60;1902;140
7814;60;1902;141
7954;60;1902;143
7645;60;1902;146
7556;60;1902;151
7566;60;1902;152
7909;60;1902;152
7640;60;1902;152
7920;60;1902;154
7979;60;1902;155
