PEP_ID;BBCH;YEAR;DAY
7001;60;1927;157
7001;60;1928;140
7001;60;1929;150
7001;60;1930;120
7001;60;1931;142
7001;60;1932;137
7001;60;1933;135
7001;60;1934;125
7001;60;1935;139
7001;60;1936;133
7001;60;1937;126
7001;60;1938;140
7001;60;1939;136
7001;60;1940;140
7001;60;1941;145
7001;60;1942;144
7001;60;1943;134
7001;60;1944;142
7001;60;1945;131
7001;60;1946;140
7001;60;1953;138
7001;60;1954;134
7002;60;1954;141
7002;69;1954;149
7001;60;1955;151
7002;60;1955;151
7002;69;1955;160
7002;60;1956;141
7001;60;1956;141
7002;69;1956;151
7001;60;1957;140
7002;60;1957;145
7002;69;1957;155
7002;60;1958;152
7001;60;1958;153
7002;69;1958;159
7001;60;1959;125
7002;60;1959;137
7002;69;1959;146
7001;60;1960;131
7002;60;1960;133
7002;69;1960;141
7001;60;1961;121
7002;60;1961;135
7002;69;1961;145
7001;60;1962;138
7002;60;1962;151
7002;69;1962;161
7001;60;1963;136
7002;60;1963;150
7002;69;1963;157
7001;60;1964;129
7002;60;1964;140
7002;69;1964;150
7001;60;1965;139
7002;60;1965;146
7002;69;1965;157
7001;60;1966;145
7002;60;1966;151
7002;69;1966;164
7001;60;1967;143
7002;69;1967;153
7002;60;1968;142
7001;60;1968;143
7002;69;1968;151
7001;60;1969;140
7001;60;1970;136
7001;60;1972;131
7001;60;1975;134
7001;60;1976;141
7001;60;1977;139
7002;60;1977;143
7002;69;1977;150
7001;60;1978;137
7002;60;1978;143
7002;69;1978;149
7001;60;1979;148
7002;60;1979;151
7002;69;1979;156
7002;60;1980;137
7001;60;1980;138
7002;69;1980;148
7002;60;1981;137
7001;60;1981;137
7002;69;1981;145
7002;60;1982;143
7002;69;1982;152
7001;60;1983;133
7002;60;1983;138
7002;69;1983;147
7001;60;1984;136
7002;60;1984;137
7002;69;1984;144
7001;60;1985;135
7002;60;1985;142
7002;69;1985;150
7001;60;1986;141
7002;60;1986;143
7002;69;1986;155
7001;60;1987;141
7002;60;1987;144
7002;69;1987;154
7001;60;1988;133
7002;60;1988;142
7001;60;1989;112
7002;60;1989;125
7002;69;1989;134
7001;60;1990;116
7002;60;1990;117
7002;69;1990;123
7001;60;1991;122
7002;60;1991;136
7002;69;1991;143
7001;60;1992;135
7002;60;1992;137
7002;69;1992;142
7002;60;1993;124
7001;60;1993;130
7002;69;1993;132
7002;60;1994;134
7001;60;1994;136
7002;69;1994;144
7001;60;1995;136
7002;60;1995;143
7002;69;1995;149
7001;60;1996;136
7002;60;1996;148
7002;69;1996;157
7002;60;1997;138
7001;60;1997;142
7002;69;1997;151
7001;60;1998;126
7002;60;1998;135
7002;69;1998;143
7001;60;1999;130
7002;60;1999;142
7002;69;1999;149
7002;60;2000;127
7001;60;2000;127
7002;69;2000;134
7001;60;2001;132
7002;60;2001;136
7002;69;2001;145
7002;60;2002;128
7002;69;2002;136
7002;60;2003;137
7002;69;2003;149
7002;60;2004;126
7002;69;2004;134
7002;60;2005;131
7002;69;2005;142
