PEP_ID;BBCH;YEAR;DAY
19293;85;1961;204
19293;100;1961;208
19293;0;1961;300
19293;10;1961;324
19293;55;1962;147
19293;85;1962;201
19293;100;1962;215
19293;0;1962;300
19293;10;1962;324
19293;55;1963;144
19293;85;1963;196
19293;100;1963;210
19293;0;1963;291
19293;10;1963;303
19293;85;1964;201
19293;100;1964;209
19293;0;1964;303
19293;10;1964;323
19293;55;1965;139
19293;85;1965;178
19293;100;1965;213
19293;0;1965;289
19293;10;1965;305
19293;85;1966;194
19293;100;1966;209
19293;0;1966;282
19293;10;1966;293
19293;55;1967;154
19293;85;1967;189
19293;100;1967;206
19293;0;1967;287
19293;10;1967;300
19293;55;1968;142
19293;85;1968;185
19293;100;1968;212
19293;0;1968;281
19293;10;1968;288
19293;55;1969;153
19293;85;1969;187
19293;100;1969;216
19293;0;1969;277
19293;10;1969;285
19293;55;1970;163
19293;85;1970;187
19293;100;1970;210
19293;0;1970;284
19293;10;1970;295
19293;55;1971;141
19293;85;1971;186
19293;100;1971;204
19293;0;1971;282
19293;10;1971;291
19293;55;1972;154
19293;85;1972;186
19293;100;1972;209
19293;0;1972;280
19293;10;1972;291
19293;55;1973;155
19293;85;1973;189
19293;100;1973;213
19293;0;1973;280
19293;10;1973;298
19293;55;1974;144
19293;85;1974;195
19293;100;1974;226
19293;0;1974;280
19293;10;1974;296
19293;55;1975;140
19293;85;1975;192
19293;100;1975;216
19293;0;1975;283
19293;10;1975;297
19293;55;1976;161
19293;85;1976;198
19293;100;1976;221
19293;0;1976;283
19293;10;1976;296
19293;55;1977;146
19293;85;1977;196
19293;100;1977;206
19293;0;1977;285
19293;10;1977;297
19293;55;1978;148
19293;85;1978;203
19293;100;1978;217
19293;0;1978;281
19293;10;1978;293
19293;55;1979;148
19293;85;1979;196
19293;100;1979;206
19293;0;1979;282
19293;10;1979;298
19293;55;1980;153
19293;85;1980;204
19293;100;1980;222
19293;0;1980;289
19293;10;1980;306
19293;55;1981;144
19293;85;1981;202
19293;100;1981;209
19293;0;1981;279
19293;10;1981;292
19293;55;1982;161
19293;85;1982;194
19293;100;1982;214
19293;0;1982;279
19293;10;1982;293
19293;55;1983;149
19293;85;1983;185
19293;100;1983;204
19293;0;1983;275
19293;10;1983;289
19293;55;1984;150
19293;85;1984;198
19293;100;1984;216
19293;0;1984;276
19293;10;1984;291
19293;55;1985;148
19293;85;1985;199
19293;100;1985;214
19293;0;1985;300
19293;10;1985;320
19293;55;1986;148
19293;85;1986;198
19293;100;1986;221
19293;0;1986;284
19293;10;1986;295
19293;55;1987;151
19293;85;1987;199
19293;100;1987;219
19293;0;1987;280
19293;10;1987;294
19293;55;1988;148
19293;85;1988;195
19293;100;1988;214
19293;0;1988;291
19293;10;1988;303
