PEP_ID;BBCH;YEAR;DAY
8015;60;1960;159
7195;0;1960;237
8015;0;1960;242
7195;10;1960;248
7212;60;1961;150
7195;60;1961;154
8015;60;1961;155
7201;60;1961;156
8016;60;1961;156
7212;100;1961;200
7201;100;1961;201
8016;100;1961;206
8015;100;1961;209
7201;0;1961;232
7192;0;1961;236
8015;0;1961;239
7201;10;1961;242
7192;10;1961;245
7195;0;1961;248
7212;0;1961;251
7195;100;1961;253
7212;60;1962;166
7202;60;1962;167
8015;60;1962;167
7192;60;1962;169
7201;60;1962;175
8016;60;1962;176
7211;60;1962;185
8015;100;1962;215
7195;100;1962;217
7201;100;1962;218
7192;100;1962;220
7212;100;1962;226
7215;100;1962;227
7202;100;1962;229
7212;0;1962;235
8015;0;1962;238
7192;0;1962;239
7212;10;1962;239
7201;0;1962;244
8016;100;1962;246
7192;10;1962;247
7211;100;1962;247
7201;10;1962;250
7215;0;1962;258
7202;0;1962;262
7211;0;1962;269
7202;10;1962;270
7215;10;1962;270
8016;0;1962;274
8016;10;1962;281
7211;10;1962;287
7195;60;1963;153
8016;60;1963;154
7192;60;1963;155
7202;60;1963;155
7204;60;1963;155
7212;60;1963;155
8015;60;1963;156
7215;60;1963;161
7211;60;1963;163
7192;100;1963;199
7202;100;1963;202
7195;100;1963;205
7204;100;1963;206
7212;100;1963;208
8016;100;1963;209
8015;100;1963;211
7211;100;1963;216
8015;0;1963;240
7202;0;1963;241
7201;0;1963;247
7202;10;1963;247
7204;0;1963;259
7212;0;1963;263
7204;10;1963;269
7212;10;1963;272
7211;0;1963;276
7211;10;1963;290
7212;60;1964;157
7202;60;1964;159
8015;60;1964;160
7201;60;1964;161
7204;60;1964;161
7208;60;1964;161
7211;60;1964;161
8016;60;1964;165
7212;100;1964;203
7211;100;1964;204
7204;100;1964;205
8016;100;1964;206
7202;100;1964;208
7208;100;1964;211
8015;100;1964;216
7201;0;1964;227
7201;100;1964;227
7212;0;1964;232
7212;10;1964;237
7202;0;1964;241
7208;0;1964;244
8015;0;1964;244
7201;10;1964;244
7211;0;1964;245
7202;10;1964;246
7204;0;1964;250
7208;10;1964;253
7211;10;1964;254
7204;10;1964;258
7212;60;1965;163
7202;60;1965;166
7204;60;1965;169
7201;60;1965;171
7208;60;1965;171
8015;60;1965;172
8016;60;1965;172
7195;60;1965;198
7212;100;1965;223
7195;100;1965;225
8015;100;1965;226
7202;100;1965;228
7201;100;1965;229
7208;100;1965;230
7204;100;1965;232
7202;0;1965;236
8015;0;1965;237
7212;0;1965;239
7202;10;1965;243
7212;10;1965;244
7195;0;1965;248
7208;0;1965;251
7201;0;1965;255
7195;10;1965;257
7204;0;1965;260
7208;10;1965;263
7204;10;1965;271
7212;60;1966;157
7202;60;1966;163
8015;60;1966;163
7211;60;1966;165
8016;60;1966;166
7208;60;1966;167
7204;60;1966;171
7201;60;1966;176
7201;100;1966;206
7211;100;1966;210
7212;100;1966;210
7208;100;1966;211
7202;100;1966;214
8015;100;1966;214
7204;100;1966;222
7201;0;1966;229
7195;0;1966;244
7201;10;1966;244
7195;10;1966;250
7211;0;1966;251
7208;0;1966;252
7202;10;1966;253
7202;0;1966;256
7204;0;1966;261
7212;0;1966;261
7208;10;1966;263
7211;10;1966;266
7212;10;1966;267
7204;10;1966;273
7212;60;1967;150
8016;60;1967;152
7202;60;1967;155
7193;60;1967;157
7211;60;1967;158
7208;60;1967;161
8015;60;1967;161
7201;60;1967;171
7205;60;1967;184
7205;100;1967;206
7212;100;1967;208
7201;100;1967;209
7202;100;1967;209
8015;100;1967;209
7208;100;1967;212
7193;100;1967;217
7211;100;1967;217
7191;0;1967;232
7191;10;1967;238
7212;0;1967;246
7193;0;1967;250
7208;0;1967;251
7212;10;1967;252
7195;0;1967;253
7211;0;1967;253
7193;10;1967;257
7208;10;1967;263
7195;10;1967;265
7202;0;1967;266
7211;10;1967;267
7202;10;1967;275
7202;60;1968;157
7212;60;1968;158
7201;60;1968;159
7193;60;1968;161
7204;60;1968;161
7208;60;1968;163
8015;60;1968;163
7205;60;1968;165
7201;100;1968;201
7195;100;1968;210
7205;100;1968;211
7208;100;1968;211
7202;100;1968;212
7193;100;1968;213
7212;100;1968;213
8015;100;1968;214
7204;100;1968;217
7202;0;1968;238
7202;10;1968;247
7205;0;1968;248
7208;0;1968;252
7212;0;1968;253
7205;10;1968;254
7204;0;1968;255
7195;0;1968;256
7212;10;1968;260
7204;10;1968;263
7208;10;1968;263
7192;60;1969;162
7212;60;1969;165
7194;60;1969;166
8015;60;1969;167
7201;60;1969;168
7204;60;1969;171
7205;60;1969;172
7208;60;1969;181
7191;100;1969;209
8015;100;1969;209
7202;100;1969;213
7205;0;1969;217
7195;100;1969;217
7201;100;1969;219
7192;100;1969;222
7204;100;1969;222
7212;100;1969;222
7205;100;1969;225
7208;100;1969;228
7191;0;1969;245
7193;0;1969;248
7202;0;1969;248
7201;0;1969;251
7202;10;1969;253
7193;10;1969;255
7201;10;1969;255
7205;10;1969;255
7212;0;1969;257
7195;0;1969;258
7208;0;1969;258
7213;0;1969;258
7204;0;1969;263
7212;10;1969;264
7213;10;1969;264
7208;10;1969;267
7204;10;1969;275
7202;60;1970;131
7192;60;1970;140
7193;60;1970;160
7212;60;1970;160
7188;60;1970;163
7204;60;1970;163
7215;60;1970;163
7194;60;1970;165
7207;60;1970;166
7201;60;1970;167
7205;60;1970;167
8015;60;1970;167
7208;60;1970;171
7213;60;1970;178
7207;100;1970;190
7188;100;1970;207
8015;100;1970;207
7191;100;1970;211
7212;100;1970;217
7201;100;1970;218
7208;100;1970;219
7205;100;1970;220
7204;100;1970;222
7193;100;1970;226
7194;100;1970;226
7202;100;1970;226
7213;100;1970;232
7207;0;1970;245
7208;0;1970;247
7193;0;1970;248
7194;0;1970;248
7201;0;1970;248
7201;10;1970;253
7202;0;1970;254
7193;10;1970;254
7207;10;1970;254
7208;10;1970;257
7205;0;1970;258
7213;0;1970;258
7202;10;1970;259
7204;0;1970;260
7194;10;1970;260
7212;0;1970;262
7213;10;1970;264
7204;10;1970;265
7212;10;1970;270
7188;60;1971;148
7212;60;1971;151
7192;60;1971;152
7195;60;1971;152
7202;60;1971;153
7191;60;1971;154
7193;60;1971;156
7201;60;1971;156
7207;60;1971;156
7204;60;1971;161
7208;60;1971;161
8015;60;1971;161
7205;60;1971;164
7213;60;1971;175
7191;100;1971;207
7188;100;1971;210
7204;100;1971;210
7205;100;1971;210
7207;100;1971;215
7193;100;1971;216
7202;100;1971;216
7208;100;1971;216
7212;100;1971;216
8015;100;1971;216
7195;100;1971;218
7201;100;1971;222
7192;100;1971;226
7213;100;1971;230
7192;0;1971;241
7194;0;1971;245
7195;0;1971;245
7191;0;1971;247
7207;0;1971;249
7212;0;1971;251
7193;0;1971;253
7213;0;1971;253
7202;0;1971;254
7191;10;1971;254
7201;0;1971;258
8016;0;1971;258
7212;10;1971;258
7213;10;1971;258
7204;0;1971;261
7194;10;1971;261
7202;10;1971;261
7207;10;1971;261
7201;10;1971;263
7193;10;1971;265
7195;10;1971;265
8016;10;1971;276
7204;10;1971;277
7188;60;1972;156
7193;60;1972;159
7202;60;1972;159
7201;60;1972;160
7205;60;1972;161
8015;60;1972;161
7204;60;1972;163
7212;60;1972;163
7208;60;1972;169
7213;60;1972;170
7188;100;1972;203
8015;100;1972;205
7207;100;1972;207
7201;100;1972;209
7204;100;1972;213
7212;100;1972;214
7193;100;1972;217
7208;100;1972;220
7202;100;1972;221
7213;100;1972;229
7201;0;1972;244
7207;0;1972;245
7213;0;1972;248
7201;10;1972;250
7202;0;1972;251
7208;0;1972;251
7213;10;1972;254
7193;0;1972;258
8016;0;1972;258
7207;10;1972;258
7202;10;1972;261
7208;10;1972;261
7204;0;1972;263
7212;0;1972;263
7193;10;1972;266
8016;10;1972;268
7212;10;1972;271
7204;10;1972;273
7188;0;1972;275
7188;10;1972;280
7188;60;1973;148
7212;60;1973;155
7202;60;1973;157
7193;60;1973;158
7204;60;1973;159
8015;60;1973;159
7201;60;1973;160
7208;60;1973;161
8016;60;1973;169
7213;60;1973;174
7188;100;1973;197
7213;100;1973;205
7201;100;1973;206
7202;100;1973;209
7208;100;1973;209
7193;100;1973;211
8015;100;1973;211
7212;100;1973;212
7207;100;1973;215
7204;100;1973;218
7192;0;1973;231
7188;0;1973;240
7194;0;1973;242
7193;0;1973;244
7207;0;1973;245
7208;0;1973;248
7188;10;1973;248
7204;0;1973;249
7202;0;1973;256
7193;10;1973;257
7208;10;1973;257
7207;10;1973;260
7204;10;1973;261
7212;0;1973;263
7202;10;1973;263
7212;10;1973;271
7188;60;1974;165
