PEP_ID;BBCH;YEAR;DAY
19292;100;1961;9
19296;55;1961;113
19291;55;1961;120
19295;55;1961;124
19296;85;1961;162
19295;85;1961;167
19291;85;1961;171
19296;100;1961;173
19291;100;1961;178
19295;100;1961;187
19291;0;1961;292
19296;0;1961;293
19291;10;1961;299
19295;0;1961;309
19296;10;1961;309
19295;10;1961;323
19292;100;1962;9
19291;55;1962;142
19295;55;1962;142
19296;55;1962;145
19291;85;1962;173
19295;85;1962;177
19296;85;1962;191
19291;100;1962;192
19295;100;1962;200
19296;100;1962;204
19291;0;1962;288
19291;10;1962;297
19295;0;1962;306
19296;0;1962;312
19295;10;1962;320
19296;10;1962;344
19292;100;1963;9
19295;55;1963;133
19291;55;1963;138
19296;55;1963;139
19295;85;1963;167
19296;85;1963;172
19291;85;1963;179
19296;100;1963;184
19291;100;1963;186
19295;100;1963;191
19295;0;1963;276
19291;0;1963;277
19295;10;1963;283
19291;10;1963;287
19292;100;1964;9
19291;55;1964;133
19295;55;1964;140
19291;85;1964;168
19295;85;1964;168
19291;100;1964;190
19295;100;1964;191
19291;0;1964;282
19291;10;1964;290
19295;0;1964;298
19295;10;1964;309
19292;100;1965;9
19291;55;1965;142
19295;55;1965;145
19295;85;1965;174
19291;85;1965;181
19295;100;1965;192
19291;100;1965;195
19295;0;1965;292
19295;10;1965;305
19292;55;1966;120
19291;55;1966;127
19295;55;1966;128
19292;85;1966;159
19291;85;1966;166
19295;85;1966;170
19292;100;1966;178
19291;100;1966;182
19295;100;1966;191
19295;0;1966;271
19291;0;1966;285
19295;10;1966;286
19291;10;1966;299
19292;0;1966;301
19292;10;1966;314
19291;55;1967;135
19295;55;1967;138
19295;85;1967;176
19291;85;1967;177
19292;100;1967;178
19295;100;1967;189
19291;100;1967;191
19291;0;1967;307
19295;0;1967;313
19291;10;1967;324
19295;10;1967;350
19296;55;1968;126
19295;55;1968;128
19291;55;1968;130
19295;85;1968;164
19291;85;1968;167
19296;85;1968;169
19296;100;1968;178
19291;100;1968;183
19295;100;1968;186
19296;0;1968;282
19291;0;1968;288
19296;10;1968;291
19295;0;1968;294
19295;10;1968;304
19291;10;1968;307
19292;55;1969;128
19291;55;1969;130
19295;55;1969;138
19292;85;1969;167
19291;85;1969;170
19295;85;1969;174
19291;100;1969;179
19292;100;1969;180
19295;100;1969;193
19291;0;1969;275
19291;10;1969;290
19292;0;1969;293
19295;0;1969;298
19292;10;1969;303
19295;10;1969;308
19291;55;1970;135
19292;55;1970;135
19296;55;1970;143
19291;85;1970;171
19292;85;1970;171
19291;100;1970;179
19296;85;1970;180
19292;100;1970;182
19296;100;1970;196
19292;0;1970;274
19292;10;1970;281
19291;0;1970;285
19291;10;1970;298
19296;0;1970;307
19296;10;1970;327
19292;55;1971;131
19291;55;1971;135
19296;55;1971;136
19292;85;1971;169
19296;85;1971;170
19291;85;1971;171
19291;100;1971;179
19292;100;1971;183
19296;100;1971;186
19291;0;1971;285
19296;0;1971;290
19291;10;1971;298
19296;10;1971;306
19292;0;1971;308
19292;10;1971;322
19291;55;1972;130
19296;55;1972;131
19295;55;1972;146
19296;85;1972;171
19291;85;1972;172
19295;85;1972;176
19291;100;1972;187
19296;100;1972;193
19295;100;1972;202
19291;0;1972;290
19291;10;1972;302
19296;0;1972;314
19295;0;1972;319
19296;10;1972;329
19295;10;1972;338
19292;55;1973;135
19291;55;1973;139
19296;55;1973;139
19295;55;1973;142
19295;85;1973;169
19291;85;1973;171
19292;85;1973;171
19296;85;1973;171
19292;100;1973;184
19291;100;1973;190
19295;100;1973;190
19296;100;1973;192
19291;0;1973;295
19292;0;1973;298
19296;0;1973;312
19295;0;1973;314
19291;10;1973;314
19292;10;1973;331
19296;10;1973;342
19295;10;1973;344
19292;55;1974;131
19291;55;1974;134
19296;55;1974;136
19295;55;1974;139
19291;85;1974;171
19296;85;1974;171
19295;85;1974;173
19292;85;1974;179
19291;100;1974;187
19292;100;1974;191
19295;100;1974;194
19296;100;1974;206
19291;0;1974;291
19296;0;1974;292
19292;0;1974;309
19291;10;1974;314
19295;0;1974;315
19296;10;1974;318
19295;10;1974;321
19292;10;1974;324
19292;55;1975;126
19291;55;1975;135
19295;55;1975;136
19296;55;1975;137
19292;85;1975;171
19296;85;1975;175
19291;85;1975;176
19292;100;1975;184
19291;100;1975;186
19295;100;1975;191
19296;100;1975;196
19291;0;1975;298
19295;0;1975;312
19292;0;1975;320
19291;10;1975;324
19296;0;1975;328
19295;10;1975;329
19292;10;1975;330
19292;55;1976;131
19291;55;1976;139
19296;55;1976;142
19295;55;1976;143
19292;85;1976;169
19291;85;1976;171
19295;85;1976;179
19296;85;1976;181
19292;100;1976;181
19291;100;1976;194
19296;100;1976;194
19295;100;1976;199
19291;0;1976;286
19292;0;1976;299
19296;0;1976;303
19291;10;1976;304
19292;10;1976;310
19295;0;1976;318
19296;10;1976;324
19295;10;1976;329
19292;55;1977;125
19291;55;1977;132
19295;55;1977;132
19296;55;1977;134
19297;55;1977;137
19292;85;1977;163
19296;85;1977;168
19291;85;1977;171
19297;85;1977;173
19295;85;1977;175
19296;100;1977;180
19292;100;1977;182
19291;100;1977;183
19297;100;1977;188
19295;100;1977;193
19292;0;1977;285
19291;0;1977;289
19292;10;1977;291
19297;0;1977;296
19296;0;1977;300
19291;10;1977;309
19297;10;1977;309
19295;0;1977;315
19296;10;1977;320
19295;10;1977;336
19292;55;1978;132
19291;55;1978;140
19296;55;1978;142
19297;55;1978;147
19295;55;1978;148
19291;85;1978;178
19292;85;1978;179
19296;85;1978;180
19295;85;1978;184
19297;85;1978;189
19292;100;1978;189
19291;100;1978;193
19296;100;1978;195
19297;100;1978;198
19295;100;1978;213
19295;0;1978;282
19297;0;1978;288
19292;0;1978;289
19291;0;1978;290
19296;0;1978;293
19292;10;1978;298
19297;10;1978;299
19291;10;1978;304
19296;10;1978;309
19291;55;1979;140
19295;55;1979;142
19295;85;1979;175
19291;85;1979;178
19297;85;1979;178
19291;100;1979;186
19297;100;1979;194
19297;55;1979;248
19291;0;1979;296
19297;0;1979;298
19295;0;1979;307
19297;10;1979;311
19291;10;1979;312
19295;10;1979;325
19292;55;1980;143
19296;55;1980;143
19297;55;1980;143
19291;55;1980;146
19296;85;1980;179
19292;85;1980;181
19291;85;1980;185
19297;85;1980;195
19292;100;1980;196
19296;100;1980;199
