PEP_ID;BBCH;YEAR;DAY
20448;60;1951;126
20448;75;1951;131
20448;100;1951;161
20448;0;1951;290
20448;10;1951;297
20448;13;1951;316
20448;51;1952;109
20448;60;1952;130
20448;75;1952;136
20448;100;1952;156
20448;0;1952;292
20448;10;1952;299
20448;13;1952;318
20448;0;1953;301
20448;10;1953;309
20448;13;1953;327
20448;51;1954;133
20448;60;1954;144
20448;75;1954;157
20448;100;1954;175
20448;0;1954;307
20448;10;1954;318
20448;13;1954;358
20448;51;1955;127
20448;60;1955;132
20448;75;1955;146
20448;100;1955;164
20448;0;1955;300
20448;10;1955;306
20448;13;1955;359
20448;51;1956;133
20448;60;1956;138
20448;75;1956;157
20448;100;1956;177
20448;51;1957;123
20448;60;1957;133
20448;75;1957;142
20448;85;1957;169
20448;0;1957;286
20448;10;1957;293
20448;51;1958;127
20448;60;1958;130
20448;75;1958;136
20448;100;1958;167
20448;51;1959;101
20448;60;1959;104
20448;100;1959;161
20448;0;1959;294
20448;10;1959;306
20448;13;1959;353
20448;51;1960;103
20448;60;1960;107
20448;75;1960;114
20448;100;1960;158
20448;100;1962;169
20448;0;1962;295
20448;10;1962;302
20448;85;1963;155
20448;89;1963;162
20448;100;1963;165
20448;0;1963;290
20448;10;1963;297
20448;13;1963;328
20448;51;1964;116
20448;60;1964;123
20448;89;1964;161
20448;100;1964;165
20448;0;1964;302
20448;10;1964;314
20448;51;1965;114
20448;60;1965;125
20448;89;1965;158
20448;100;1965;160
20448;51;1966;125
20448;60;1966;128
20448;89;1966;170
20448;100;1966;176
20448;51;1967;111
20448;60;1967;116
20448;85;1967;147
20448;89;1967;170
20448;100;1967;172
20448;51;1968;109
20448;60;1968;114
20448;75;1968;131
20448;85;1968;143
20448;89;1968;148
20448;100;1968;157
20448;51;1969;114
20448;60;1969;118
20448;85;1969;160
20448;89;1969;173
20448;100;1969;175
20448;51;1970;115
20448;60;1970;119
20448;85;1970;157
20448;89;1970;168
20448;100;1970;177
20448;51;1971;126
20448;60;1971;130
20448;75;1971;146
20448;89;1971;176
20448;100;1971;178
20448;0;1971;293
20448;10;1971;301
20448;13;1971;351
20448;51;1972;112
20448;60;1972;116
20448;75;1972;141
20448;89;1972;162
20448;100;1972;167
20448;0;1972;312
20448;10;1972;321
20448;51;1973;126
20448;60;1973;129
20448;75;1973;151
20448;85;1973;164
20448;89;1973;172
20448;100;1973;175
20448;51;1974;113
20448;60;1974;117
20448;89;1974;164
20448;100;1974;168
20448;13;1975;19
20448;51;1975;122
20448;60;1975;126
20448;75;1975;143
20448;85;1975;152
20448;89;1975;169
20448;100;1975;176
20448;51;1976;118
20448;60;1976;124
20448;75;1976;154
20448;85;1976;162
20448;89;1976;177
20448;100;1976;181
20448;0;1976;300
20448;10;1976;331
20448;75;1977;143
20448;85;1977;152
20448;89;1977;164
20448;100;1977;170
20448;0;1977;296
20448;10;1977;306
20448;0;1978;305
20448;10;1978;332
20448;51;1979;114
20448;60;1979;117
20448;75;1979;144
20448;85;1979;165
20448;89;1979;179
20448;100;1979;185
20448;0;1979;330
20448;10;1979;353
20448;51;1982;116
20448;60;1982;120
20448;85;1982;162
20448;100;1982;175
20448;0;1982;292
20448;10;1982;308
20448;13;1982;339
20448;51;1983;162
20448;60;1983;170
20448;75;1983;175
20448;51;1984;103
20448;75;1984;139
20448;85;1984;145
20448;51;1990;134
20448;60;1990;139
20448;75;1990;157
20448;89;1990;174
20448;100;1990;176
20448;0;1990;287
20448;10;1990;297
20448;13;1993;4
20448;51;1993;125
20448;60;1993;128
20448;75;1993;141
20448;85;1993;162
20448;89;1993;169
20448;100;1993;172
20448;0;1993;296
20448;10;1993;301
20448;51;1996;115
20448;60;1996;128
20448;85;1996;173
20448;89;1996;181
20448;100;1996;187
